image_filename,x,y,orientation_z
img_20250622_024616_689660.jpg,-1.2802809771603358e-11,2.3888532317676333e-11,3.495977579945711e-10
img_20250622_024617_045051.jpg,-1.29439746392094e-11,2.416901508761732e-11,3.535704065985067e-10
img_20250622_024617_054175.jpg,-1.300447375798012e-11,2.4289222025866023e-11,3.5527297027372156e-10
img_20250622_024617_073870.jpg,-1.3064973025899441e-11,2.4409428901167604e-11,3.5697553396642377e-10
img_20250622_024617_173429.jpg,-1.3125472236707113e-11,2.4529635779395233e-11,3.586780976410209e-10
img_20250622_024617_211230.jpg,-1.3165805059642055e-11,2.4609773677549987e-11,3.598131400966206e-10
img_20250622_024617_296361.jpg,-1.3206137921794626e-11,2.4689911681296362e-11,3.6094818255220476e-10
img_20250622_024617_363699.jpg,-1.326663713932854e-11,2.4810118559153518e-11,3.626507462448863e-10
img_20250622_024617_450481.jpg,-1.3327136382097647e-11,2.4930325443497372e-11,3.6435330991976126e-10
img_20250622_024617_718962.jpg,-1.3508634108884107e-11,2.5290946157984825e-11,3.694610009793799e-10
img_20250622_024617_811274.jpg,-1.356913334556422e-11,2.5411153067219672e-11,3.711635646547363e-10
img_20250622_024617_961999.jpg,-1.3669965373189948e-11,2.561149790309408e-11,3.740011708023197e-10
img_20250622_024618_004103.jpg,-1.3690131881999678e-11,2.5651566823622717e-11,3.745686920212872e-10
img_20250622_024618_066668.jpg,-1.3730464634625254e-11,2.5731704772818638e-11,3.757037344768874e-10
img_20250622_024618_136304.jpg,-1.3790963821508876e-11,2.5851911579679832e-11,3.7740629816943995e-10
img_20250622_024618_247484.jpg,-1.3851463107783972e-11,2.5972118581868082e-11,3.791088618444525e-10
img_20250622_024618_290257.jpg,-1.3891795879290943e-11,2.605225647823389e-11,3.802439043004344e-10
img_20250622_024618_361975.jpg,-1.3932128668334234e-11,2.6132394467589074e-11,3.8137894675607956e-10
img_20250622_024618_435724.jpg,-1.3992628011415464e-11,2.6252601251693155e-11,3.830815104486943e-10
img_20250622_024618_619986.jpg,-1.4113626558111865e-11,2.649301509021711e-11,3.8648663781712217e-10
img_20250622_024618_719122.jpg,-1.4174125579560192e-11,2.6613221975640524e-11,3.881892014919194e-10
img_20250622_024618_762677.jpg,-1.4214458479597154e-11,2.669335988648545e-11,3.8932424394775486e-10
img_20250622_024618_911632.jpg,-1.4315290533702097e-11,2.6893704663128673e-11,3.92161850096658e-10
img_20250622_024619_041716.jpg,-1.4395956173315081e-11,2.705398059650329e-11,3.944319350083254e-10
img_20250622_024619_183772.jpg,-1.4496788260366682e-11,2.7254325466727867e-11,3.972695411392236e-10
img_20250622_024619_290749.jpg,-1.455728741349365e-11,2.7374532350579555e-11,3.9897210483134737e-10
img_20250622_024619_361058.jpg,-1.461778670593644e-11,2.749473916951728e-11,4.0067466850596627e-10
img_20250622_024619_451346.jpg,-1.4985157036044707e-05,-1.4984974144896251e-05,-3.0006639623153978e-09
img_20250622_024619_554148.jpg,-3.688873514234006e-05,0.030036038100409047,-0.00023084614086716368
img_20250622_024619_650099.jpg,-6.56374292626384e-05,0.07928577996057032,-0.0002748855780627842
img_20250622_024619_720519.jpg,1.5042861577636607e-05,0.1385629183897247,-7.376582264113551e-07
img_20250622_024619_754127.jpg,-4.6848029654826185e-05,0.15308110000396588,-0.00013842845353823825
img_20250622_024619_810616.jpg,-0.0003837398375890787,0.19112209859428103,-0.0007360302690765643
img_20250622_024619_958084.jpg,0.0006939275404134992,0.290289792907864,-0.0006360297481612063
img_20250622_024620_064101.jpg,0.0009237468343888187,0.34291079597555807,-0.0002910081281564959
img_20250622_024620_113392.jpg,0.0009704138958559638,0.38080935482109857,-8.628946539143807e-06
img_20250622_024620_195815.jpg,0.0011493314309670409,0.4421195101208107,0.0006997465224942488
img_20250622_024620_298573.jpg,0.0007622666446252893,0.4947129285592763,7.85186556791172e-05
img_20250622_024620_375969.jpg,0.0017616405417038225,0.5560482392993485,-2.9900956561575333e-05
img_20250622_024620_471333.jpg,0.0015087722566012765,0.6083499627717577,0.0005614979579180348
img_20250622_024620_617024.jpg,0.006120412344830635,0.708128511647827,3.938074393068322e-05
img_20250622_024620_719765.jpg,0.0122589111951939,0.7624522049063526,-0.0007510552742765516
img_20250622_024620_764877.jpg,0.03633417585194515,0.7829205939612265,-0.0007511264314224036
img_20250622_024620_829333.jpg,0.07235007290655254,0.7923353809291012,-0.0007523856285368091
img_20250622_024620_915737.jpg,0.13371392765724807,0.7950439817871463,-0.0010383378434740244
img_20250622_024621_021135.jpg,0.18604263027920362,0.7953707677370176,-0.0010097691942639938
img_20250622_024621_099690.jpg,0.24733291092226953,0.8018187503044656,-0.0023499529977345198
img_20250622_024621_207924.jpg,0.2954325669591686,0.816485900294696,-0.00204284140069734
img_20250622_024621_332765.jpg,0.34686118359800994,0.8932418404027316,-6.688281114522503e-05
img_20250622_024621_417485.jpg,0.35975623104964827,0.9266177629386689,-0.001497673904399429
img_20250622_024621_453209.jpg,0.37320194207636254,0.9602112610741451,-0.0037320657217507986
img_20250622_024621_721752.jpg,0.4282174989420557,1.1033895651842809,-0.001674557545519971
img_20250622_024621_785633.jpg,0.45014307908554496,1.1299596101849616,-0.00018505122202027794
img_20250622_024621_929083.jpg,0.540216752189402,1.1665393690477974,-0.0008860150495386249
img_20250622_024621_987891.jpg,0.5761291708567381,1.1670261079140958,-0.0028279782003252365
img_20250622_024622_053081.jpg,0.6138661815952713,1.1686200892597065,-0.006485642564452378
img_20250622_024622_187393.jpg,0.6921805874589719,1.169445060182453,-0.014615009746193057
img_20250622_024622_258779.jpg,0.7424666701854581,1.1692205974453833,-0.015479064744104588
img_20250622_024622_378082.jpg,0.8191626099206264,1.1709945649972557,-0.01601819683163681
img_20250622_024622_469037.jpg,0.8812976745993152,1.1816004081187557,-0.01610935958205197
img_20250622_024622_615717.jpg,0.9755241666920014,1.1980110782403237,-0.014343398152601662
img_20250622_024622_825054.jpg,1.0847090399726498,1.2617231738836143,-0.01711538504159026
img_20250622_024622_915325.jpg,1.122643059932829,1.288165572225855,-0.017111466840353515
img_20250622_024623_004289.jpg,1.1634476749241507,1.3271890571700078,-0.017112406041985044
img_20250622_024623_079425.jpg,1.1860509679091993,1.355665066099374,-0.01656683369914216
img_20250622_024623_097409.jpg,1.1900130558731155,1.3626556633124665,-0.017108487864122793
